uid,bank_id,unit,learning_objectives,title,points,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer_label,num_choices,format_flags,source_file,source_qid
PHY1-SMH-MESHM-12012025::q-1,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Spring-Mass Position Function (Equilibrium Start),1,"A block of mass $m$ is attached to an ideal spring with spring constant $k$ and is placed on a horizontal, frictionless surface. The block undergoes simple harmonic motion with an amplitude $A$. At time $t=0$, the block is passing through the equilibrium position ($x=0$) with a velocity $v$ in the positive $x$-direction. Which of the following expressions correctly describes the position $x(t)$ of the block as a function of time?",$\frac{1}{2}kA^2 \cos^2\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \sin^2\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \cos^2\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \sin^2\left(\sqrt{\frac{k}{m}} t\right)$,$A \cos\left(\sqrt{\frac{k}{m}} t\right)$,$A\sqrt{\frac{k}{m}} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$-A\sqrt{\frac{k}{m}} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$A \sin\left(\sqrt{\frac{k}{m}} t\right)$,J,10,duplicate_choices,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-1
PHY1-SMH-MESHM-12012025::q-2,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Spring-Mass Velocity Function (Equilibrium Start),1,"A block of mass $m$ is attached to an ideal spring with spring constant $k$ and is placed on a horizontal, frictionless surface. The block undergoes simple harmonic motion with an amplitude $A$. At time $t=0$, the block is passing through the equilibrium position ($x=0$) with a velocity $v$ in the positive $x$-direction. Which of the following expressions correctly describes the **velocity** $v(t)$ of the block as a function of time?",$-A\frac{k}{m} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \sin^2\left(\sqrt{\frac{k}{m}} t\right)$,$A \sin\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$A\sqrt{\frac{k}{m}} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \cos^2\left(\sqrt{\frac{k}{m}} t\right)$,$A \cos\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \cos^2\left(\sqrt{\frac{k}{m}} t\right)$,$-A\sqrt{\frac{k}{m}} \sin\left(\sqrt{\frac{k}{m}} t\right)$,,E,9,duplicate_choices,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-2
PHY1-SMH-MESHM-12012025::q-3,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Spring-Mass Acceleration Function (Equilibrium Start),1,"A block of mass $m$ is attached to an ideal spring with spring constant $k$ and is placed on a horizontal, frictionless surface. The block undergoes simple harmonic motion with an amplitude $A$. At time $t=0$, the block is passing through the equilibrium position ($x=0$) with a velocity $v$ in the positive $x$-direction. Which of the following expressions correctly describes the **acceleration** $a(t)$ of the block as a function of time?",$A \sin\left(\sqrt{\frac{k}{m}} t\right)$,$-A\sqrt{\frac{k}{m}} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$A\sqrt{\frac{k}{m}} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$A \cos\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \sin^2\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \cos^2\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \cos\left(\sqrt{\frac{k}{m}} t\right)$,,,D,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-3
PHY1-SMH-MESHM-12012025::q-4,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Spring-Mass Kinetic Energy Function (Equilibrium Start),1,"A block of mass $m$ is attached to an ideal spring with spring constant $k$ and is placed on a horizontal, frictionless surface. The block undergoes simple harmonic motion with an amplitude $A$. At time $t=0$, the block is passing through the equilibrium position ($x=0$) with a velocity $v$ in the positive $x$-direction. Which of the following expressions correctly describes the **Kinetic Energy** $K(t)$ of the system as a function of time?",$-A\sqrt{\frac{k}{m}} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \sin^2\left(\sqrt{\frac{k}{m}} t\right)$,$A\sqrt{\frac{k}{m}} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$A \sin\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \cos^2\left(\sqrt{\frac{k}{m}} t\right)$,$A \cos\left(\sqrt{\frac{k}{m}} t\right)$,,,G,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-4
PHY1-SMH-MESHM-12012025::q-5,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Spring-Mass Potential Energy Function (Equilibrium Start),1,"A block of mass $m$ is attached to an ideal spring with spring constant $k$ and is placed on a horizontal, frictionless surface. The block undergoes simple harmonic motion with an amplitude $A$. At time $t=0$, the block is passing through the equilibrium position ($x=0$) with a velocity $v$ in the positive $x$-direction. Which of the following expressions correctly describes the **Potential Energy** $U(t)$ of the system as a function of time?",$A\sqrt{\frac{k}{m}} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \cos^2\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \sin^2\left(\sqrt{\frac{k}{m}} t\right)$,$A \sin\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$A \cos\left(\sqrt{\frac{k}{m}} t\right)$,$-A\sqrt{\frac{k}{m}} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \cos\left(\sqrt{\frac{k}{m}} t\right)$,,,C,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-5
PHY1-SMH-MESHM-12012025::q-6,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Spring-Mass Position Function (Displacement Start),1,"A block of mass $m$ is attached to an ideal spring with spring constant $k$ and is placed on a horizontal, frictionless surface. The block undergoes simple harmonic motion with an amplitude $A$, assuming that the block is at $x=0$ when the spring is at equilibrium length. At time $t=0$, the block is released from rest at the maximum displacement position ($x=A$). Which of the following expressions correctly describes the position $x(t)$ of the block as a function of time?",$-A\frac{k}{m} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$-A\sqrt{\frac{k}{m}} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$A\sqrt{\frac{k}{m}} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \sin^2\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \cos^2\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$A \cos\left(\sqrt{\frac{k}{m}} t\right)$,$A \sin\left(\sqrt{\frac{k}{m}} t\right)$,,,G,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-6
PHY1-SMH-MESHM-12012025::q-7,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Spring-Mass Velocity Function (Displacement Start),1,"A block of mass $m$ is attached to an ideal spring with spring constant $k$ and is placed on a horizontal, frictionless surface. The block undergoes simple harmonic motion with an amplitude $A$, assuming that the block is at $x=0$ when the spring is at equilibrium length. At time $t=0$, the block is released from rest at the maximum displacement position ($x=A$). Which of the following expressions correctly describes the **velocity** $v(t)$ of the block as a function of time?",$A\sqrt{\frac{k}{m}} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$A \cos\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$-A\sqrt{\frac{k}{m}} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \cos^2\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \sin^2\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$A \sin\left(\sqrt{\frac{k}{m}} t\right)$,,,D,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-7
PHY1-SMH-MESHM-12012025::q-8,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Spring-Mass Acceleration Function (Displacement Start),1,"A block of mass $m$ is attached to an ideal spring with spring constant $k$ and is placed on a horizontal, frictionless surface. The block undergoes simple harmonic motion with an amplitude $A$, assuming that the block is at $x=0$ when the spring is at equilibrium length. At time $t=0$, the block is released from rest at the maximum displacement position ($x=A$). Which of the following expressions correctly describes the **acceleration** $a(t)$ of the block as a function of time?",$\frac{1}{2}kA^2 \cos^2\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$A \cos\left(\sqrt{\frac{k}{m}} t\right)$,$A\sqrt{\frac{k}{m}} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \sin^2\left(\sqrt{\frac{k}{m}} t\right)$,$-A\sqrt{\frac{k}{m}} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$A \sin\left(\sqrt{\frac{k}{m}} t\right)$,,,B,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-8
PHY1-SMH-MESHM-12012025::q-9,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Spring-Mass Kinetic Energy Function (Displacement Start),1,"A block of mass $m$ is attached to an ideal spring with spring constant $k$ and is placed on a horizontal, frictionless surface. The block undergoes simple harmonic motion with an amplitude $A$, assuming that the block is at $x=0$ when the spring is at equilibrium length. At time $t=0$, the block is released from rest at the maximum displacement position ($x=A$). Which of the following expressions correctly describes the **Kinetic Energy** $K(t)$ of the system as a function of time?",$\frac{1}{2}kA^2 \sin^2\left(\sqrt{\frac{k}{m}} t\right)$,$A \sin\left(\sqrt{\frac{k}{m}} t\right)$,$-A\sqrt{\frac{k}{m}} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \cos^2\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$A \cos\left(\sqrt{\frac{k}{m}} t\right)$,$A\sqrt{\frac{k}{m}} \cos\left(\sqrt{\frac{k}{m}} t\right)$,,,A,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-9
PHY1-SMH-MESHM-12012025::q-10,PHY1-SMH-MESHM-12012025,11_Simple Harmonic Motion,,Spring-Mass Potential Energy Function (Displacement Start),1,"A block of mass $m$ is attached to an ideal spring with spring constant $k$ and is placed on a horizontal, frictionless surface. The block undergoes simple harmonic motion with an amplitude $A$, assuming that the block is at $x=0$ when the spring is at equilibrium length. At time $t=0$, the block is released from rest at the maximum displacement position ($x=A$). Which of the following expressions correctly describes the **Potential Energy** $U(t)$ of the system as a function of time?",$\frac{1}{2}kA^2 \sin^2\left(\sqrt{\frac{k}{m}} t\right)$,$A \cos\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$A\sqrt{\frac{k}{m}} \cos\left(\sqrt{\frac{k}{m}} t\right)$,$-A\frac{k}{m} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$-A\sqrt{\frac{k}{m}} \sin\left(\sqrt{\frac{k}{m}} t\right)$,$\frac{1}{2}kA^2 \cos^2\left(\sqrt{\frac{k}{m}} t\right)$,$A \sin\left(\sqrt{\frac{k}{m}} t\right)$,,,G,8,,PHY I Mechanics/11_Simple Harmonic Motion/PHY1-SMH-MESHM-12012025/PHY1-SMH-MESHM-12012025.yaml,q-10
